standardized_cluster_component,n,standardized_fold,pEC50_minimum,pEC50_median,pEC50_maximum
2242,1,4,5.5,5.5,5.5
2243,1,1,5.79,5.79,5.79
2244,1,2,1.72,1.72,1.72
2245,1,2,6.215,6.215,6.215
2246,1,1,4.92,4.92,4.92
2247,1,1,2.6,2.6,2.6
2248,1,0,4.94,4.94,4.94
2249,1,4,4.79,4.79,4.79
2250,1,2,3.76,3.76,3.76
2251,1,2,5.89,5.89,5.89
2252,1,3,1.75,1.75,1.75
2253,1,1,5.79,5.79,5.79
2254,1,0,4.94,4.94,4.94
2255,1,0,5.35,5.35,5.35
2256,1,4,4.81,4.81,4.81
2257,1,4,5.2,5.2,5.2
2258,1,1,4.57,4.57,4.57
2259,1,3,1.85,1.85,1.85
2260,1,2,4.36,4.36,4.36
2261,1,2,5.53,5.53,5.53
2262,1,2,5.09,5.09,5.09
2263,1,3,5.265000000000001,5.265000000000001,5.265000000000001
2264,1,3,3.2,3.2,3.2
2265,1,3,5.0,5.0,5.0
2266,1,3,2.48,2.48,2.48
2267,1,0,2.52,2.52,2.52
2268,1,3,4.83,4.83,4.83
2269,1,3,5.975,5.975,5.975
2270,1,2,2.86,2.86,2.86
2271,1,2,5.67,5.67,5.67
2272,1,0,4.51,4.51,4.51
2273,1,3,5.859999999999999,5.859999999999999,5.859999999999999
2274,1,4,5.36,5.36,5.36
2275,1,2,4.69,4.69,4.69
2276,1,2,5.01,5.01,5.01
2277,1,1,4.61,4.61,4.61
2278,1,1,5.1,5.1,5.1
2279,1,0,5.22,5.22,5.22
2280,1,1,5.33,5.33,5.33
2281,1,4,5.14,5.14,5.14
2282,1,3,3.04,3.04,3.04
2283,1,2,4.36,4.36,4.36
2284,1,2,5.37,5.37,5.37
2285,1,1,1.84,1.84,1.84
2286,1,0,5.64,5.64,5.64
2287,1,0,3.87,3.87,3.87
2288,1,1,4.43,4.43,4.43
2289,1,3,4.69,4.69,4.69
2290,1,0,3.43,3.43,3.43
2291,1,3,3.5,3.5,3.5
2292,1,1,5.29,5.29,5.29
2293,1,2,5.11,5.11,5.11
2294,1,0,3.37,3.37,3.37
2295,1,4,4.3,4.3,4.3
2296,1,2,5.09,5.09,5.09
2297,1,0,5.17,5.17,5.17
2298,1,4,4.51,4.51,4.51
2299,1,2,5.63,5.63,5.63
2300,1,4,5.15,5.15,5.15
2301,1,4,3.21,3.21,3.21
2302,1,4,4.9,4.9,4.9
2303,1,3,4.19,4.19,4.19
2304,1,1,4.52,4.52,4.52
2305,1,4,3.49,3.49,3.49
2306,1,3,5.2,5.2,5.2
2307,1,2,3.95,3.95,3.95
2308,1,3,6.39,6.39,6.39
2309,1,1,5.28,5.28,5.28
2310,1,1,3.81,3.81,3.81
2311,1,4,5.765000000000001,5.765000000000001,5.765000000000001
2312,1,1,3.91,3.91,3.91
2313,1,0,4.65,4.65,4.65
2314,1,4,4.88,4.88,4.88
2315,1,2,3.33,3.33,3.33
2316,1,3,2.77,2.77,2.77
2317,1,3,5.14,5.14,5.14
2318,1,2,3.8,3.8,3.8
2319,1,2,5.67,5.67,5.67
2320,1,0,5.2,5.2,5.2
2321,1,2,5.05,5.05,5.05
2322,1,0,6.0600000000000005,6.0600000000000005,6.0600000000000005
2323,1,1,4.93,4.93,4.93
2324,1,4,5.18,5.18,5.18
2325,1,1,4.78,4.78,4.78
2326,1,0,5.23,5.23,5.23
2327,1,4,4.86,4.86,4.86
2328,1,1,4.9,4.9,4.9
2329,1,1,4.45,4.45,4.45
2330,1,2,4.31,4.31,4.31
2331,1,2,4.86,4.86,4.86
2332,1,2,2.36,2.36,2.36
2333,1,3,2.02,2.02,2.02
2334,1,0,2.85,2.85,2.85
2335,1,0,2.83,2.83,2.83
2336,1,4,4.75,4.75,4.75
2337,1,2,4.65,4.65,4.65
2338,1,2,4.68,4.68,4.68
2339,1,1,4.68,4.68,4.68
2340,1,3,2.59,2.59,2.59
2341,1,2,2.56,2.56,2.56
2342,1,1,3.67,3.67,3.67
2343,1,2,3.63,3.63,3.63
2344,1,4,3.73,3.73,3.73
2345,1,1,4.16,4.16,4.16
2346,1,4,4.92,4.92,4.92
2347,1,2,6.125,6.125,6.125
2348,1,2,5.48,5.48,5.48
2349,1,3,5.87,5.87,5.87
2350,1,4,4.1,4.1,4.1
2351,1,1,5.14,5.14,5.14
2352,1,1,2.49,2.49,2.49
2353,1,0,2.45,2.45,2.45
2354,1,0,5.1,5.1,5.1
2355,1,2,5.2,5.2,5.2
2356,1,2,4.53,4.53,4.53
2357,1,4,4.07,4.07,4.07
2358,1,2,6.345000000000001,6.345000000000001,6.345000000000001
2359,1,1,2.28,2.28,2.28
2360,1,2,5.23,5.23,5.23
2361,1,4,5.25,5.25,5.25
2362,1,3,4.5,4.5,4.5
2363,1,3,1.91,1.91,1.91
2364,1,1,3.57,3.57,3.57
2365,1,0,4.94,4.94,4.94
2366,1,4,1.79,1.79,1.79
2367,1,2,5.51,5.51,5.51
2368,1,2,4.7,4.7,4.7
2369,2,1,4.2,4.585,4.97
2370,1,3,4.38,4.38,4.38
2371,1,2,2.92,2.92,2.92
2372,1,0,4.43,4.43,4.43
2373,1,0,4.56,4.56,4.56
2374,1,2,5.73,5.73,5.73
2375,1,3,4.73,4.73,4.73
2376,1,3,4.61,4.61,4.61
2377,1,2,4.86,4.86,4.86
2378,1,0,2.69,2.69,2.69
2379,1,1,3.08,3.08,3.08
2380,1,3,4.4,4.4,4.4
2381,1,1,3.66,3.66,3.66
2382,1,2,4.46,4.46,4.46
2383,1,4,2.93,2.93,2.93
2384,1,2,2.35,2.35,2.35
2385,1,2,1.83,1.83,1.83
2386,1,3,4.99,4.99,4.99
2387,1,1,5.12,5.12,5.12
2388,1,2,4.83,4.83,4.83
2389,1,2,1.96,1.96,1.96
2390,1,4,4.59,4.59,4.59
2391,1,4,4.46,4.46,4.46
2392,1,4,4.49,4.49,4.49
2393,1,0,5.3,5.3,5.3
2394,1,0,4.91,4.91,4.91
2395,1,1,2.76,2.76,2.76
2396,1,0,4.38,4.38,4.38
2397,1,0,4.55,4.55,4.55
2398,1,2,5.21,5.21,5.21
2399,1,0,4.0,4.0,4.0
2400,1,2,1.75,1.75,1.75
2401,1,3,5.15,5.15,5.15
2402,1,1,5.41,5.41,5.41
2403,1,3,5.16,5.16,5.16
2404,1,2,5.22,5.22,5.22
2405,1,2,5.14,5.14,5.14
2406,1,0,3.02,3.02,3.02
2407,1,2,2.96,2.96,2.96
2408,1,4,5.88,5.88,5.88
2409,1,4,3.94,3.94,3.94
2410,1,3,4.63,4.63,4.63
2411,1,2,5.63,5.63,5.63
2412,1,1,5.28,5.28,5.28
2413,1,1,4.45,4.45,4.45
2414,1,2,5.21,5.21,5.21
2415,1,1,4.29,4.29,4.29
2416,1,1,5.04,5.04,5.04
2417,1,2,4.86,4.86,4.86
2418,1,3,4.67,4.67,4.67
2419,1,4,4.34,4.34,4.34
2420,1,3,4.63,4.63,4.63
2421,1,3,5.18,5.18,5.18
2422,1,0,3.64,3.64,3.64
2423,1,1,4.58,4.58,4.58
2424,1,3,2.53,2.53,2.53
2425,1,4,5.19,5.19,5.19
2426,1,3,4.9,4.9,4.9
2427,1,0,1.73,1.73,1.73
2428,1,1,3.93,3.93,3.93
2429,1,4,2.83,2.83,2.83
2430,1,1,4.86,4.86,4.86
2431,1,2,5.64,5.64,5.64
2432,1,0,4.6,4.6,4.6
2433,1,2,3.52,3.52,3.52
2434,1,4,4.26,4.26,4.26
2435,1,0,4.11,4.11,4.11
2436,1,3,5.59,5.59,5.59
2437,1,4,5.82,5.82,5.82
2438,1,0,4.77,4.77,4.77
2439,1,4,5.54,5.54,5.54
2440,1,4,1.86,1.86,1.86
2441,1,2,4.86,4.86,4.86
2442,1,2,3.53,3.53,3.53
2443,1,3,5.48,5.48,5.48
2444,1,2,5.24,5.24,5.24
2445,1,4,5.11,5.11,5.11
2446,1,0,4.63,4.63,4.63
2447,1,2,4.49,4.49,4.49
2448,1,1,5.02,5.02,5.02
2449,1,4,5.44,5.44,5.44
2450,1,3,4.21,4.21,4.21
2451,1,3,2.53,2.53,2.53
2452,1,3,3.44,3.44,3.44
2453,1,2,3.58,3.58,3.58
2454,1,3,5.49,5.49,5.49
2455,1,2,4.74,4.74,4.74
2456,1,2,4.99,4.99,4.99
2457,1,1,3.34,3.34,3.34
2458,1,3,4.84,4.84,4.84
2459,1,0,3.4,3.4,3.4
2460,1,0,5.05,5.05,5.05
2461,2,0,4.69,4.945,5.2
2462,1,4,4.05,4.05,4.05
2463,1,3,4.72,4.72,4.72
2464,1,1,3.81,3.81,3.81
2465,1,4,4.78,4.78,4.78
2466,1,2,5.46,5.46,5.46
2467,1,3,4.79,4.79,4.79
2468,1,0,5.17,5.17,5.17
2469,1,2,2.67,2.67,2.67
2470,1,3,4.55,4.55,4.55
2471,1,3,4.5,4.5,4.5
2472,1,3,4.64,4.64,4.64
2473,1,4,6.26,6.26,6.26
2474,1,4,4.13,4.13,4.13
2475,1,1,4.09,4.09,4.09
2476,1,2,5.07,5.07,5.07
2477,2,1,4.74,4.75,4.76
2478,1,1,2.94,2.94,2.94
2479,1,0,3.86,3.86,3.86
2480,1,4,3.79,3.79,3.79
2481,1,3,4.5,4.5,4.5
2482,1,3,4.72,4.72,4.72
2483,1,2,1.76,1.76,1.76
2484,1,0,4.45,4.45,4.45
2485,1,2,2.4,2.4,2.4
2486,1,3,5.34,5.34,5.34
2487,1,2,4.42,4.42,4.42
2488,1,1,4.94,4.94,4.94
2489,1,2,5.65,5.65,5.65
2490,1,3,4.66,4.66,4.66
2491,1,3,3.25,3.25,3.25
2492,1,4,4.89,4.89,4.89
2493,1,0,5.67,5.67,5.67
2494,1,1,3.85,3.85,3.85
2495,1,1,4.81,4.81,4.81
2496,1,2,4.85,4.85,4.85
2497,1,1,3.79,3.79,3.79
2498,1,4,2.5,2.5,2.5
2499,1,1,3.28,3.28,3.28
2500,1,3,5.12,5.12,5.12
2501,1,0,3.33,3.33,3.33
2502,1,2,5.11,5.11,5.11
2503,1,3,4.79,4.79,4.79
2504,1,0,5.175,5.175,5.175
2505,1,2,3.88,3.88,3.88
2506,1,1,4.9,4.9,4.9
2507,1,2,4.64,4.64,4.64
2508,1,2,4.57,4.57,4.57
2509,1,3,2.88,2.88,2.88
2510,1,4,5.3,5.3,5.3
2511,1,3,5.1,5.1,5.1
2512,1,3,5.3,5.3,5.3
2513,1,0,5.05,5.05,5.05
2514,1,2,5.19,5.19,5.19
2515,1,1,5.47,5.47,5.47
2516,1,1,4.25,4.25,4.25
2517,1,4,5.09,5.09,5.09
2518,1,3,5.17,5.17,5.17
2519,1,4,4.28,4.28,4.28
2520,1,2,5.63,5.63,5.63
2521,1,2,5.55,5.55,5.55
2522,1,3,3.75,3.75,3.75
2523,1,0,6.22,6.22,6.22
2524,1,1,4.28,4.28,4.28
2525,1,2,4.44,4.44,4.44
2526,1,1,4.9,4.9,4.9
2527,1,4,1.79,1.79,1.79
2528,1,3,4.15,4.15,4.15
2529,1,1,6.855,6.855,6.855
2530,1,2,4.94,4.94,4.94
2531,1,1,2.79,2.79,2.79
2532,1,4,4.7,4.7,4.7
2533,1,0,4.97,4.97,4.97
2534,1,1,5.925000000000001,5.925000000000001,5.925000000000001
2535,1,0,5.62,5.62,5.62
2536,1,0,2.2,2.2,2.2
2537,1,3,4.64,4.64,4.64
2538,1,0,5.42,5.42,5.42
2539,1,4,1.89,1.89,1.89
2540,1,3,4.68,4.68,4.68
2541,1,4,4.85,4.85,4.85
2542,1,3,1.78,1.78,1.78
2543,1,3,4.82,4.82,4.82
2544,1,1,5.02,5.02,5.02
2545,1,4,5.11,5.11,5.11
2546,1,0,2.28,2.28,2.28
2547,1,0,4.42,4.42,4.42
2548,1,2,3.28,3.28,3.28
2549,1,3,3.68,3.68,3.68
2550,1,4,5.04,5.04,5.04
2551,1,3,5.76,5.76,5.76
2552,1,1,5.15,5.15,5.15
2553,1,0,5.66,5.66,5.66
2554,1,3,2.01,2.01,2.01
2555,1,0,5.09,5.09,5.09
2556,1,1,2.18,2.18,2.18
2557,1,1,3.0,3.0,3.0
2558,1,2,5.01,5.01,5.01
2559,1,3,4.47,4.47,4.47
2560,1,1,4.23,4.23,4.23
2561,1,4,2.57,2.57,2.57
2562,1,0,4.87,4.87,4.87
2563,1,0,4.57,4.57,4.57
2564,1,0,5.42,5.42,5.42
2565,1,1,5.54,5.54,5.54
2566,1,1,4.4,4.4,4.4
2567,1,2,2.37,2.37,2.37
2568,1,3,5.24,5.24,5.24
2569,1,2,4.82,4.82,4.82
2570,1,1,4.7,4.7,4.7
2571,1,1,4.7,4.7,4.7
2572,1,1,2.91,2.91,2.91
2573,1,4,5.38,5.38,5.38
2574,1,3,5.76,5.76,5.76
2575,1,2,5.404999999999999,5.404999999999999,5.404999999999999
2576,1,1,4.43,4.43,4.43
2577,1,3,2.05,2.05,2.05
2578,1,1,5.58,5.58,5.58
2579,1,2,4.16,4.16,4.16
2580,1,2,4.73,4.73,4.73
2581,1,2,5.45,5.45,5.45
2582,1,0,4.78,4.78,4.78
2583,1,2,5.61,5.61,5.61
2584,1,1,2.61,2.61,2.61
2585,1,2,4.65,4.65,4.65
2586,1,0,5.46,5.46,5.46
2587,1,0,2.69,2.69,2.69
2588,1,4,4.47,4.47,4.47
2589,1,1,4.85,4.85,4.85
2590,1,3,3.21,3.21,3.21
2591,2,1,6.12,6.405,6.69
2592,1,1,4.53,4.53,4.53
2593,1,0,1.89,1.89,1.89
2594,1,3,5.09,5.09,5.09
2595,1,0,4.1,4.1,4.1
2596,1,0,4.87,4.87,4.87
2597,1,2,1.81,1.81,1.81
2598,1,2,1.81,1.81,1.81
2599,1,0,5.83,5.83,5.83
2600,1,1,3.94,3.94,3.94
2601,1,0,4.83,4.83,4.83
2602,1,3,3.73,3.73,3.73
2603,1,2,4.39,4.39,4.39
2604,1,0,5.25,5.25,5.25
2605,1,3,5.84,5.84,5.84
2606,1,2,3.35,3.35,3.35
2607,1,0,5.32,5.32,5.32
2608,1,0,4.3,4.3,4.3
2609,1,1,3.94,3.94,3.94
2610,1,1,5.23,5.23,5.23
2611,1,3,4.68,4.68,4.68
2612,1,0,5.4,5.4,5.4
2613,1,0,4.46,4.46,4.46
2614,1,1,5.17,5.17,5.17
2615,1,1,4.76,4.76,4.76
2616,1,2,5.01,5.01,5.01
2617,1,4,4.04,4.04,4.04
2618,1,3,3.69,3.69,3.69
2619,1,4,4.99,4.99,4.99
2620,1,0,5.89,5.89,5.89
2621,1,2,4.57,4.57,4.57
2622,1,3,2.05,2.05,2.05
2623,1,0,3.33,3.33,3.33
2624,1,2,5.45,5.45,5.45
2625,1,0,3.31,3.31,3.31
2626,1,2,4.91,4.91,4.91
2627,1,3,5.68,5.68,5.68
2628,1,1,2.92,2.92,2.92
2629,1,2,4.92,4.92,4.92
2630,1,1,5.01,5.01,5.01
2631,1,0,2.08,2.08,2.08
2632,1,0,5.12,5.12,5.12
2633,1,0,3.39,3.39,3.39
2634,1,3,5.29,5.29,5.29
2635,1,1,2.51,2.51,2.51
2636,1,4,1.89,1.89,1.89
2637,1,1,5.88,5.88,5.88
2638,1,1,5.05,5.05,5.05
2639,1,2,5.32,5.32,5.32
2640,1,3,4.12,4.12,4.12
2641,1,1,5.2,5.2,5.2
2642,1,4,4.81,4.81,4.81
2643,1,3,3.97,3.97,3.97
2644,1,0,3.56,3.56,3.56
2645,1,1,5.13,5.13,5.13
2646,1,3,1.7,1.7,1.7
2647,1,3,4.01,4.01,4.01
2648,1,1,4.97,4.97,4.97
2649,1,1,4.95,4.95,4.95
2650,1,0,3.27,3.27,3.27
2651,1,3,5.18,5.18,5.18
2652,1,3,5.25,5.25,5.25
2653,1,1,4.97,4.97,4.97
2654,1,4,1.8,1.8,1.8
2655,1,2,5.029999999999999,5.029999999999999,5.029999999999999
2656,1,0,4.56,4.56,4.56
2657,1,4,5.22,5.22,5.22
2658,1,0,4.84,4.84,4.84
2659,1,3,4.55,4.55,4.55
2660,1,0,5.47,5.47,5.47
2661,1,1,4.49,4.49,4.49
2662,1,1,5.21,5.21,5.21
2663,1,0,3.53,3.53,3.53
2664,1,0,5.83,5.83,5.83
2665,1,0,4.35,4.35,4.35
2666,1,3,5.11,5.11,5.11
2667,1,3,5.27,5.27,5.27
2668,1,0,4.93,4.93,4.93
2669,1,2,4.89,4.89,4.89
2670,1,3,4.6,4.6,4.6
2671,1,3,4.47,4.47,4.47
2672,1,4,4.41,4.41,4.41
2673,1,1,5.09,5.09,5.09
2674,1,3,4.63,4.63,4.63
2675,1,0,4.64,4.64,4.64
2676,1,2,4.63,4.63,4.63
2677,1,1,5.02,5.02,5.02
2678,1,1,3.1100000000000003,3.1100000000000003,3.1100000000000003
2679,1,2,5.41,5.41,5.41
2680,1,1,5.5,5.5,5.5
2681,1,4,1.8,1.8,1.8
2682,1,2,5.19,5.19,5.19
2683,1,3,2.64,2.64,2.64
2684,1,0,4.63,4.63,4.63
2685,1,2,4.57,4.57,4.57
2686,1,3,5.19,5.19,5.19
2687,1,3,3.67,3.67,3.67
2688,1,3,4.41,4.41,4.41
2689,1,0,3.89,3.89,3.89
2690,1,0,4.85,4.85,4.85
2691,1,4,4.19,4.19,4.19
2692,1,2,2.42,2.42,2.42
2693,1,4,5.22,5.22,5.22
2694,1,2,4.19,4.19,4.19
2695,1,2,4.39,4.39,4.39
2696,1,0,3.76,3.76,3.76
2697,1,0,4.98,4.98,4.98
2698,1,4,5.2,5.2,5.2
2699,1,4,4.79,4.79,4.79
2700,1,0,4.53,4.53,4.53
2701,1,3,5.28,5.28,5.28
2702,1,0,4.78,4.78,4.78
2703,1,3,4.5,4.5,4.5
2704,1,4,4.48,4.48,4.48
2705,1,1,3.63,3.63,3.63
2706,1,3,4.46,4.46,4.46
2707,1,1,2.94,2.94,2.94
2708,1,1,5.12,5.12,5.12
2709,1,0,4.4,4.4,4.4
2710,1,3,4.87,4.87,4.87
2711,1,4,4.4,4.4,4.4
2712,1,1,5.32,5.32,5.32
2713,1,0,4.43,4.43,4.43
2714,1,3,3.73,3.73,3.73
2715,1,2,5.22,5.22,5.22
2716,1,3,4.26,4.26,4.26
2717,1,0,2.97,2.97,2.97
2718,1,2,5.07,5.07,5.07
2719,1,4,5.22,5.22,5.22
2720,1,4,5.26,5.26,5.26
2721,1,0,4.36,4.36,4.36
2722,1,3,5.6,5.6,5.6
2723,1,0,5.48,5.48,5.48
2724,1,0,4.19,4.19,4.19
2725,1,3,4.4,4.4,4.4
2726,1,0,4.08,4.08,4.08
2727,1,4,4.69,4.69,4.69
2728,1,1,4.29,4.29,4.29
2729,1,2,5.35,5.35,5.35
2730,1,0,2.54,2.54,2.54
2731,1,2,5.8100000000000005,5.8100000000000005,5.8100000000000005
2732,1,0,5.59,5.59,5.59
2733,1,2,4.94,4.94,4.94
2734,1,1,5.17,5.17,5.17
2735,1,0,4.26,4.26,4.26
2736,1,1,5.09,5.09,5.09
2737,1,3,4.4,4.4,4.4
2738,1,4,4.38,4.38,4.38
2739,1,3,4.8,4.8,4.8
2740,1,1,5.21,5.21,5.21
2741,1,1,6.46,6.46,6.46
2742,1,0,5.7,5.7,5.7
2743,1,3,3.53,3.53,3.53
2744,1,0,4.08,4.08,4.08
2745,1,2,4.66,4.66,4.66
2746,1,3,5.555,5.555,5.555
2747,1,4,4.77,4.77,4.77
2748,1,0,5.28,5.28,5.28
2749,1,2,5.23,5.23,5.23
2750,1,1,4.89,4.89,4.89
2751,1,3,5.53,5.53,5.53
2752,1,1,1.74,1.74,1.74
2753,1,0,3.9,3.9,3.9
2754,1,2,5.6,5.6,5.6
2755,1,1,2.32,2.32,2.32
2756,1,4,4.51,4.51,4.51
2757,1,1,4.95,4.95,4.95
2758,1,4,4.12,4.12,4.12
2759,1,4,4.58,4.58,4.58
2760,1,4,5.2,5.2,5.2
2761,1,4,2.62,2.62,2.62
2762,1,2,3.97,3.97,3.97
2763,1,3,4.7,4.7,4.7
2764,1,4,5.2,5.2,5.2
2765,1,0,4.57,4.57,4.57
2766,1,2,2.51,2.51,2.51
2767,1,0,2.97,2.97,2.97
2768,1,3,1.79,1.79,1.79
2769,1,4,5.35,5.35,5.35
2770,1,4,3.23,3.23,3.23
2771,1,3,4.5,4.5,4.5
2772,1,4,1.73,1.73,1.73
2773,1,4,3.19,3.19,3.19
2774,1,1,5.29,5.29,5.29
2775,1,1,1.75,1.75,1.75
2776,1,4,4.57,4.57,4.57
2777,1,3,4.65,4.65,4.65
2778,1,4,2.76,2.76,2.76
2779,1,3,4.13,4.13,4.13
2780,1,2,5.0,5.0,5.0
2781,1,3,5.55,5.55,5.55
2782,1,0,3.96,3.96,3.96
2783,1,3,1.77,1.77,1.77
2784,1,1,5.83,5.83,5.83
2785,1,3,4.78,4.78,4.78
2786,1,4,5.04,5.04,5.04
2787,1,4,4.72,4.72,4.72
2788,1,0,5.04,5.04,5.04
2789,1,4,4.11,4.11,4.11
2790,1,0,5.41,5.41,5.41
2791,1,2,3.43,3.43,3.43
2792,1,2,4.95,4.95,4.95
2793,1,1,2.26,2.26,2.26
2794,1,0,4.67,4.67,4.67
2795,1,2,4.5,4.5,4.5
2796,1,0,4.93,4.93,4.93
2797,1,3,3.58,3.58,3.58
2798,1,4,6.140000000000001,6.140000000000001,6.140000000000001
2799,1,3,4.18,4.18,4.18
2800,1,2,3.62,3.62,3.62
2801,1,1,4.15,4.15,4.15
2802,1,0,4.88,4.88,4.88
2803,1,3,4.52,4.52,4.52
2804,1,2,4.63,4.63,4.63
2805,1,3,2.59,2.59,2.59
2806,1,4,5.58,5.58,5.58
2807,1,4,4.11,4.11,4.11
2808,1,1,5.915,5.915,5.915
2809,1,4,4.22,4.22,4.22
2810,1,0,1.76,1.76,1.76
2811,1,1,5.15,5.15,5.15
2812,1,0,4.56,4.56,4.56
2813,1,0,2.45,2.45,2.45
2814,1,3,6.115,6.115,6.115
2815,1,0,4.68,4.68,4.68
2816,1,3,5.13,5.13,5.13
2817,1,1,4.87,4.87,4.87
2818,1,4,3.64,3.64,3.64
2819,1,4,5.39,5.39,5.39
2820,1,0,2.39,2.39,2.39
2821,1,4,4.46,4.46,4.46
2822,1,2,5.76,5.76,5.76
2823,1,3,3.4,3.4,3.4
2824,1,0,4.5,4.5,4.5
2825,1,0,5.41,5.41,5.41
2826,1,2,3.62,3.62,3.62
2827,1,1,3.55,3.55,3.55
2828,1,1,4.6,4.6,4.6
2829,1,1,5.02,5.02,5.02
2830,1,3,2.89,2.89,2.89
2831,1,3,3.63,3.63,3.63
2832,1,3,6.02,6.02,6.02
2833,1,2,4.34,4.34,4.34
2834,1,4,5.4,5.4,5.4
2835,1,4,3.85,3.85,3.85
2836,1,2,5.37,5.37,5.37
2837,1,0,4.61,4.61,4.61
2838,1,2,2.73,2.73,2.73
2839,1,0,5.16,5.16,5.16
2840,1,4,5.06,5.06,5.06
2841,1,1,4.07,4.07,4.07
2842,1,4,4.09,4.09,4.09
2843,1,2,4.98,4.98,4.98
2844,1,0,4.26,4.26,4.26
2845,1,2,5.52,5.52,5.52
2846,1,3,4.87,4.87,4.87
2847,1,2,4.39,4.39,4.39
2848,1,2,4.17,4.17,4.17
2849,1,4,5.0,5.0,5.0
2850,1,3,4.62,4.62,4.62
2851,1,3,5.25,5.25,5.25
2852,1,2,4.77,4.77,4.77
2853,1,0,2.55,2.55,2.55
2854,1,3,4.74,4.74,4.74
2855,1,0,4.62,4.62,4.62
2856,1,1,5.77,5.77,5.77
2857,1,0,4.85,4.85,4.85
2858,1,2,5.6,5.6,5.6
2859,1,1,3.81,3.81,3.81
2860,1,4,4.74,4.74,4.74
2861,1,1,3.0,3.0,3.0
2862,1,2,6.22,6.22,6.22
2863,1,2,4.04,4.04,4.04
2864,1,1,1.74,1.74,1.74
2865,1,2,4.64,4.64,4.64
2866,1,1,2.5,2.5,2.5
2867,1,0,3.53,3.53,3.53
2868,1,2,2.67,2.67,2.67
2869,1,0,4.82,4.82,4.82
2870,1,0,5.19,5.19,5.19
2871,1,1,5.43,5.43,5.43
2872,1,4,2.76,2.76,2.76
2873,1,4,1.95,1.95,1.95
2874,1,2,4.79,4.79,4.79
2875,1,3,5.78,5.78,5.78
2876,1,1,4.93,4.93,4.93
2877,1,0,5.91,5.91,5.91
2878,1,4,4.39,4.39,4.39
2879,1,4,4.98,4.98,4.98
2880,1,2,4.89,4.89,4.89
2881,1,1,5.82,5.82,5.82
2882,1,2,5.74,5.74,5.74
2883,1,2,4.45,4.45,4.45
2884,1,2,5.29,5.29,5.29
2885,1,1,4.72,4.72,4.72
2886,1,3,1.78,1.78,1.78
2887,1,2,5.46,5.46,5.46
2888,1,4,4.43,4.43,4.43
2889,1,3,5.71,5.71,5.71
2890,1,3,5.05,5.05,5.05
2891,1,4,5.18,5.18,5.18
2892,1,3,5.13,5.13,5.13
2893,1,0,6.43,6.43,6.43
2894,1,1,5.43,5.43,5.43
2895,1,2,4.71,4.71,4.71
2896,1,3,4.15,4.15,4.15
2897,1,2,3.92,3.92,3.92
2898,1,3,5.56,5.56,5.56
2899,1,2,5.34,5.34,5.34
2900,1,0,3.98,3.98,3.98
2901,1,4,2.45,2.45,2.45
2902,1,4,4.94,4.94,4.94
2903,1,1,5.64,5.64,5.64
2904,1,2,4.79,4.79,4.79
2905,1,0,4.68,4.68,4.68
2906,1,4,5.27,5.27,5.27
2907,1,4,2.61,2.61,2.61
2908,1,4,5.03,5.03,5.03
2909,1,0,5.58,5.58,5.58
2910,1,2,4.45,4.45,4.45
2911,1,3,5.39,5.39,5.39
2912,1,0,4.92,4.92,4.92
2913,1,4,4.32,4.32,4.32
2914,1,3,1.88,1.88,1.88
2915,1,3,4.82,4.82,4.82
2916,1,1,4.41,4.41,4.41
2917,1,2,6.14,6.14,6.14
2918,1,0,5.14,5.14,5.14
2919,1,4,4.86,4.86,4.86
2920,1,1,5.39,5.39,5.39
2921,1,3,4.33,4.33,4.33
2922,1,3,3.14,3.14,3.14
2923,1,3,3.62,3.62,3.62
2924,1,0,4.84,4.84,4.84
2925,1,4,3.07,3.07,3.07
2926,1,3,4.875,4.875,4.875
2927,1,4,4.64,4.64,4.64
2928,1,3,4.89,4.89,4.89
2929,1,2,3.01,3.01,3.01
2930,1,1,4.35,4.35,4.35
